,carbonmonoxide_total_column,qa_value
2020-04-11 09:57:43,0.03775367885828018,40.0
2020-04-12 09:38:47,-9999.0,255.0
2020-04-13 09:19:52,-9999.0,255.0
2020-04-14 09:00:56,-9999.0,255.0
2020-04-15 10:23:31,0.03815098851919174,40.0
2020-04-16 10:04:35,0.03962695971131325,40.0
2020-04-17 09:45:40,0.035412080585956573,255.0
2020-04-18 09:26:44,-9999.0,255.0
2020-04-19 09:07:48,-9999.0,255.0
2020-04-20 08:48:53,-9999.0,255.0
2020-04-21 10:11:26,0.03920820727944374,100.0
2020-04-22 09:52:31,0.03869083151221275,100.0
2020-04-23 09:33:34,-9999.0,255.0
2020-04-24 09:14:39,-9999.0,255.0
2020-04-25 08:55:42,-9999.0,255.0
2020-04-26 10:18:16,0.037624385207891464,70.0
2020-04-27 09:59:19,0.03568959981203079,70.0
2020-04-28 09:40:22,-9999.0,255.0
2020-04-29 09:21:26,-9999.0,255.0
