,nitrogendioxide_tropospheric_column,qa_value
2020-04-10 10:16:39,5.0040558562614024e-05,100.0
2020-04-11 09:57:43,3.8806039810879156e-05,100.0
2020-04-12 09:38:47,-9999.0,255.0
2020-04-13 09:19:52,-9999.0,255.0
2020-04-14 09:00:56,-9999.0,255.0
2020-04-15 10:23:31,4.499290662351996e-05,100.0
2020-04-16 10:04:35,0.00010661072155926377,90.0
2020-04-17 09:45:40,-9999.0,255.0
2020-04-18 09:26:44,-9999.0,255.0
2020-04-19 09:07:48,-9999.0,255.0
2020-04-20 08:48:53,-9999.0,255.0
2020-04-21 10:11:26,5.7998713600682095e-05,100.0
2020-04-22 09:52:31,2.507451608835254e-05,100.0
2020-04-23 09:33:34,-9999.0,255.0
2020-04-24 09:14:39,-9999.0,255.0
2020-04-25 08:55:42,-9999.0,255.0
2020-04-26 10:18:16,4.3396092223702e-05,100.0
2020-04-27 09:59:19,5.033767956774682e-05,74.0
2020-04-28 09:40:22,-9999.0,255.0
2020-04-29 09:21:26,-9999.0,255.0
